"V1","V2","V3"
-66.4873249315069,-29.8773404931507,88.906378600823
-67.3679509041096,-28.996714520548,88.906378600823
-67.3679509041096,-24.5935846575343,88.906378600823
-65.6066989589041,-24.5935846575343,88.906378600823
-64.7260729863014,-23.7129586849315,88.906378600823
-63.8454470136986,-23.7129586849315,88.906378600823
-62.9648210410959,-22.8323327123288,88.906378600823
-61.2035690958904,-22.8323327123288,88.906378600823
-59.4423171506849,-21.0710807671233,88.906378600823
-59.4423171506849,-20.1904547945205,88.906378600823
-55.919813260274,-20.1904547945205,88.906378600823
-55.919813260274,-27.2354625753425,88.906378600823
-56.8004392328767,-28.1160885479452,88.906378600823
-56.8004392328767,-28.996714520548,88.906378600823
-57.6810652054795,-29.8773404931507,88.906378600823
-65.6066989589041,-31.6385924383562,90.1615226337449
-66.4873249315069,-30.7579664657534,90.1615226337449
-66.4873249315069,-28.1160885479452,90.1615226337449
-67.3679509041096,-27.2354625753425,90.1615226337449
-68.2485768767123,-27.2354625753425,90.1615226337449
-68.2485768767123,-23.7129586849315,90.1615226337449
-67.3679509041096,-23.7129586849315,90.1615226337449
-66.4873249315069,-22.8323327123288,90.1615226337449
-65.6066989589041,-22.8323327123288,90.1615226337449
-64.7260729863014,-21.951706739726,90.1615226337449
-62.9648210410959,-21.951706739726,90.1615226337449
-62.0841950684932,-21.0710807671233,90.1615226337449
-51.5166833972603,-21.0710807671233,90.1615226337449
-51.5166833972603,-24.5935846575343,90.1615226337449
-54.1585613150685,-27.2354625753425,90.1615226337449
-54.1585613150685,-29.8773404931507,90.1615226337449
-56.8004392328767,-29.8773404931507,90.1615226337449
-57.6810652054795,-30.7579664657534,90.1615226337449
-57.6810652054795,-31.6385924383562,90.1615226337449
-65.6066989589041,-36.0417223013699,91.4166666666667
-69.1292028493151,-32.5192184109589,91.4166666666667
-69.1292028493151,-27.2354625753425,91.4166666666667
-68.2485768767123,-26.3548366027397,91.4166666666667
-68.2485768767123,-25.474210630137,91.4166666666667
-67.3679509041096,-24.5935846575343,91.4166666666667
